Function,Calls,Primitive Calls,Total Time (s),Cumulative Time (s),Time per Call (total),Time per Call (cumulative),Filename:Line
__setitem__,8,8,0.000010,0.000068,0.000001,0.000009,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:673
lru_cache,3,3,0.000056,0.000067,0.000019,0.000022,/opt/miniconda3/envs/FastEnv/lib/python3.12/functools.py:477
_read_array_header,1,1,0.000013,0.000064,0.000013,0.000064,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/format.py:604
_get_spec,19,19,0.000017,0.000064,0.000001,0.000003,<frozen importlib._bootstrap_external>:1588
<built-in method numpy.empty>,51,51,0.000064,0.000064,0.000001,0.000001,~:0
_wrapit,4,4,0.000036,0.000062,0.000009,0.000015,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:41
<module>,1,1,0.000008,0.000062,0.000008,0.000062,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/ImageOps.py:1
<method 'all' of 'numpy.generic' objects>,9,9,0.000033,0.000061,0.000004,0.000007,~:0
__enter__,19,19,0.000012,0.000060,0.000001,0.000003,<frozen importlib._bootstrap>:162
<built-in method builtins.any>,28,28,0.000017,0.000059,0.000001,0.000002,~:0
load_rational,4,4,0.000012,0.000058,0.000003,0.000015,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:828
_setitem,8,8,0.000024,0.000058,0.000003,0.000007,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:676
<method 'join' of 'str' objects>,232,232,0.000055,0.000058,0.000000,0.000000,~:0
_dib_accept,4,4,0.000016,0.000057,0.000004,0.000014,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/BmpImagePlugin.py:56
_broadcast_to,3,3,0.000050,0.000056,0.000017,0.000019,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:340
_path_split,36,36,0.000022,0.000056,0.000001,0.000002,<frozen importlib._bootstrap_external>:132
<built-in method builtins.all>,25,25,0.000017,0.000052,0.000001,0.000002,~:0
__prepare__,3,3,0.000012,0.000052,0.000004,0.000017,/opt/miniconda3/envs/FastEnv/lib/python3.12/enum.py:513
closegroup,19,19,0.000005,0.000052,0.000000,0.000003,/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py:98
lookup,48,48,0.000015,0.000051,0.000000,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffTags.py:52
<module>,1,1,0.000009,0.000051,0.000009,0.000051,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/PpmImagePlugin.py:1
_unpack,82,82,0.000026,0.000049,0.000000,0.000001,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/PIL/TiffImagePlugin.py:778
<genexpr>,3,3,0.000009,0.000047,0.000003,0.000016,/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:1016
__getitem__,1,1,0.000001,0.000046,0.000001,0.000046,/opt/miniconda3/envs/FastEnv/lib/python3.12/typing.py:515
__exit__,19,19,0.000007,0.000046,0.000000,0.000002,<frozen importlib._bootstrap>:420
_get_module_lock,19,19,0.000028,0.000046,0.000001,0.000002,<frozen importlib._bootstrap>:426
setdefault,19,19,0.000019,0.000045,0.000001,0.000002,<frozen importlib._bootstrap>:124
